,value,label,label2,codigo,cidade,lat,lng,cep,hora,cod
25,IMPERATRIZ AEROPORTO,"IMPERATRIZ AEROPORTO,IMP,Aeroporto",IMPERATRIZ AEROPORTO,IMP,IMPERATRIZ,-5.534209,-47.458466,65913-415,Segunda a Sexta - 01:00 às 18:00 | Sábado 01:00 às 14:00 | Domingos e Feriados - 08:00 às 15:00,AEROPORTO
26,SAO LUIS AEROPORTO,"SAO LUIS AEROPORTO,SLZ,Aeroporto",SAO LUIS AEROPORTO,SLZ,SÃO LUÍS,-2.582322,-44.23948,65056-480,Todos os dias 24 horas (inclusive feriados).,AEROPORTO
27,CUIABA CENTRO,"CUIABA CENTRO,CGBC01,RUA",CUIABA CENTRO,CGBC01,CUIABÁ,-15.619515,-56.089214,78065-310,Segunda a Sexta - 08:00 às 18:00 / Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada.,cidade
28,CUIABA AEROPORTO,"CUIABA AEROPORTO,CGB,Aeroporto",CUIABA AEROPORTO,CGB,VÁRZEA GRANDE,-15.651069,-56.122128,78110-900,Todos os dias - 24hrs (inclusive feriados).,AEROPORTO
29,CAMPO GRANDE AEROPORTO,"CAMPO GRANDE AEROPORTO,CGR,Aeroporto",CAMPO GRANDE AEROPORTO,CGR,CAMPO GRANDE,-20.456297,-54.674364,79101-901,Todos os dias - 24hrs (inclusive feriados),AEROPORTO
30,CAMPO GRANDE CENTRO,"CAMPO GRANDE CENTRO,MOVCGC,RUA",CAMPO GRANDE CENTRO,MOVCGC,CAMPO GRANDE,-20.475033,-54.589773,79041-000,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
31,BELO HORIZONTE - PRADO - TERESA CRISTINA,"BELO HORIZONTE - PRADO - TERESA CRISTINA,BHVE,RUA",BELO HORIZONTE - PRADO - TERESA CRISTINA,BHVE,BELO HORIZONTE,-19.9169998,-43.96519,30410-600,Segunda a Sexta - 08:00 às 19:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
32,BELO HORIZONTE BARAO HOMEM DE MELO,"BELO HORIZONTE BARAO HOMEM DE MELO,MOVBHC,RUA",BELO HORIZONTE BARAO HOMEM DE MELO,MOVBHC,BELO HORIZONTE,-19.960637,-43.966581,30494-085,Segunda a Sexta - 8:00 às 19:00 | Sábado - 8:00 às 12:00 | Domingos e Feriado - fechada,cidade
33,BELO HORIZONTE LOURDES BIAS FORTES,"BELO HORIZONTE LOURDES BIAS FORTES,MOVBHZ,RUA",BELO HORIZONTE LOURDES BIAS FORTES,MOVBHZ,BELO HORIZONTE,-19.929846,-43.940845,30170-010,Segunda a Sexta - 07:00 às 19:00 | Sábado 8:00 às 12:00 | Domingos: Fechada | Feriados - 08:00 às 13:00,cidade
34,BELO HORIZONTE PAMPULHA ANTONIO CARLOS,"BELO HORIZONTE PAMPULHA ANTONIO CARLOS,PLU,RUA",BELO HORIZONTE PAMPULHA ANTONIO CARLOS,PLU,BELO HORIZONTE,-19.8702297,-43.9577818,31210-800,Segunda a Sexta - 07:00 às 19:00 | Sábado - 08:00 às 16:00 | Domingos e Feriados - 12:00 as 20:00,cidade
35,BELO HORIZONTE PAMPULHA CATALAO,"BELO HORIZONTE PAMPULHA CATALAO,MOVBHCL,RUA",BELO HORIZONTE PAMPULHA CATALAO,MOVBHCL,BELO HORIZONTE,-19.9038208,-43.9677371,31230-000,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
36,BETIM,"BETIM,MOVBET,RUA",BETIM,MOVBET,BETIM,-19.964196,-44.19029,32670-248,Segunda a Sexta - 08:00 às 17:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
37,CONTAGEM,"CONTAGEM,MOVCTG,RUA",CONTAGEM,MOVCTG,CONTAGEM,-19.9514561,-44.0286691,32210-180,Segunda a Sexta - 07:00 às 17:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
38,JUIZ DE FORA CENTRO,"JUIZ DE FORA CENTRO,JDFC,RUA",JUIZ DE FORA CENTRO,JDFC,JUIZ DE FORA,-21.746103,-43.353936,36035-000,Segunda a Sexta - 07:00 às 18:00 | Sábados - 8:00 às 12:00 |Domingos e Feriados - fechada.,cidade
39,BELO HORIZONTE AEROPORTO CONFINS,"BELO HORIZONTE AEROPORTO CONFINS,CNF,Aeroporto",BELO HORIZONTE AEROPORTO CONFINS,CNF,LAGOA SANTA,-19.658218,-43.941893,33400-000,Todos os dias 24hs  (inclusive feriados).,AEROPORTO
40,MONTES CLAROS AEROPORTO,"MONTES CLAROS AEROPORTO,MOC,Aeroporto",MONTES CLAROS AEROPORTO,MOC,MONTES CLAROS,-16.704923,-43.819818,39404-844,Seg à sex: 05h00 às 00h00 | Sábado: 05h00 às 14h00 | Domingos e Feriados: 15h00 às 00h00,AEROPORTO
41,POUSO ALEGRE,"POUSO ALEGRE,MOVPAL,RUA",POUSO ALEGRE,MOVPAL,POUSO ALEGRE,-22.233352,-45.926702,37554-020,Segunda a Sexta - 08:00 às 17:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
42,UBERABA AEROPORTO,"UBERABA AEROPORTO,UBA,Aeroporto",UBERABA AEROPORTO,UBA,UBERABA,-19.765015,-47.961712,38055-500,Segunda a Sexta - 8:00 às 18:00 | Sábado -  8:00 às 12:00 | Domingos e Feriados - Fechada,AEROPORTO
43,UBERLANDIA AEROPORTO,"UBERLANDIA AEROPORTO,UDI,Aeroporto",UBERLANDIA AEROPORTO,UDI,UBERLÂNDIA,-18.8878455,-48.2332034,38406-382,Segunda à sexta-feira: 04h00 às 01h00 - Sábado 05h00 às 21h00 - Domingos e Feriados: 08h00 às 20h00.,AEROPORTO
44,JOAO PESSOA AEROPORTO,"JOAO PESSOA AEROPORTO,JPA,Aeroporto",JOAO PESSOA AEROPORTO,JPA,BAYEUX,-7.145439,-34.948186,58308-901,Todos os dias 00:00 às 23:59 (inclusive feriados).,AEROPORTO
45,CAMPINA GRANDE AEROPORTO,"CAMPINA GRANDE AEROPORTO,CPV,Aeroporto",CAMPINA GRANDE AEROPORTO,CPV,CAMPINA GRANDE,-7.2688784,-35.8962093,58418-410,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,AEROPORTO
46,JOAO PESSOA EPITACIO,"JOAO PESSOA EPITACIO,JPAC01,RUA",JOAO PESSOA EPITACIO,JPAC01,JOÃO PESSOA,-7.119348,-34.860693,58030-906,"Segunda a Sexta - 8:00 às 19:00 | Sábado, Domingos e Feriado - 08:00 às 14:00",cidade
47,CASCAVEL,"CASCAVEL,MOVCCV,RUA",CASCAVEL,MOVCCV,CASCAVEL,-24.965732,-53.483245,85805-030,Segunda a sexta - 08:00 às 18:00 / Sábado -08:00 às 12:00 /Domingos e Feriados - Fechada,cidade
48,CURITIBA CENTRO,"CURITIBA CENTRO,MOVCWB,RUA",CURITIBA CENTRO,MOVCWB,CURITIBA,-25.448872,-49.261603,80220-180,Segunda a Sexta - 07:00 às 19:00 | Sábado 08:00 às 12:00 | Domingos e Feriados - fechada,cidade
49,FOZ DO IGUACU AEROPORTO,"FOZ DO IGUACU AEROPORTO,IGU,Aeroporto",FOZ DO IGUACU AEROPORTO,IGU,FOZ DO IGUAÇU,-25.600917,-54.492108,85853-900,Todos os dias: 24h (inclusive feriados).,AEROPORTO
50,LONDRINA AEROPORTO,"LONDRINA AEROPORTO,LDB,Aeroporto",LONDRINA AEROPORTO,LDB,LONDRINA,-23.326438,-51.139629,86039-100,Todos os dias - 06:00 às 23:59 (inclusive feriados),AEROPORTO
51,MARINGA AEROPORTO,"MARINGA AEROPORTO,MGF,Aeroporto",MARINGA AEROPORTO,MGF,MARINGÁ,-23.480451,-52.01398,87065-665,Todos os dias das 06:00h as 22:00h (inclusive feriados).,AEROPORTO
52,PONTA GROSSA,"PONTA GROSSA,MOVPTG,RUA",PONTA GROSSA,MOVPTG,PONTA GROSSA,-25.129727,-50.154862,84045-100,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
53,CURITIBA AEROPORTO,"CURITIBA AEROPORTO,CWB,Aeroporto",CURITIBA AEROPORTO,CWB,SÃO JOSÉ DOS PINHAIS,-25.532883,-49.172674,83010-900,Todos os dias (inclusive feriados) das 00:00 às 23:59,AEROPORTO
